Date,Account,Type,Check Number,Description,Debit,Credit,Balance
2025-03-03,XXXXXX4021,DEBIT,,DEBIT CARD PURCHASE WHOLE FOODS MKT 10412 AUSTIN TX,84.32,,4915.68
2025-03-04,XXXXXX4021,DEBIT,,DEBIT CARD PURCHASE SHELL OIL 57442310 AUSTIN TX,52.18,,4863.50
2025-03-05,XXXXXX4021,DEBIT,,DEBIT CARD PURCHASE NETFLIX.COM 866-579-7172 CA,15.49,,4848.01
2025-03-06,XXXXXX4021,ACH,,ACH DEBIT CRUNCH FITNESS MEMBERSHIP FEE,29.99,,4818.02
2025-03-07,XXXXXX4021,DEPOSIT,,ACH DEPOSIT NORTHWIND TRADING CO PAYROLL,,2450.00,7268.02
2025-03-08,XXXXXX4021,DEBIT,,DEBIT CARD PURCHASE STARBUCKS STORE 04563 AUSTIN TX,6.75,,7261.27
2025-03-10,XXXXXX4021,DEBIT,,DEBIT CARD PURCHASE AMAZON.COM AMZN.COM/BILL WA,38.27,,7223.00
2025-03-11,XXXXXX4021,DEBIT,,DEBIT CARD PURCHASE DELTA AIR LINES 0062319887 ATL GA,312.40,,6910.60
2025-03-12,XXXXXX4021,DEBIT,,DEBIT CARD PURCHASE CVS PHARMACY 04122 AUSTIN TX,23.86,,6886.74
2025-03-13,XXXXXX4021,ACH,,ACH DEBIT AUSTIN ENERGY UTILITY PAYMENT,142.55,,6744.19
